كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-45-1,دواء بنادول اكسترا تشغيلة 45-1,51.50,15.5%
SKU-45-2,دواء بنادول اكسترا تشغيلة 45-2,52.50,15.5%
SKU-45-3,دواء بنادول اكسترا تشغيلة 45-3,53.50,15.5%
SKU-45-4,دواء بنادول اكسترا تشغيلة 45-4,54.50,15.5%
SKU-45-5,دواء بنادول اكسترا تشغيلة 45-5,55.50,15.5%
SKU-45-6,دواء بنادول اكسترا تشغيلة 45-6,56.50,15.5%
SKU-45-7,دواء بنادول اكسترا تشغيلة 45-7,57.50,15.5%
SKU-45-8,دواء بنادول اكسترا تشغيلة 45-8,58.50,15.5%
SKU-45-9,دواء بنادول اكسترا تشغيلة 45-9,59.50,15.5%
SKU-45-10,دواء بنادول اكسترا تشغيلة 45-10,60.50,15.5%
SKU-45-11,دواء بنادول اكسترا تشغيلة 45-11,61.50,15.5%
SKU-45-12,دواء بنادول اكسترا تشغيلة 45-12,62.50,15.5%
SKU-45-13,دواء بنادول اكسترا تشغيلة 45-13,63.50,15.5%
SKU-45-14,دواء بنادول اكسترا تشغيلة 45-14,64.50,15.5%
SKU-45-15,دواء بنادول اكسترا تشغيلة 45-15,65.50,15.5%
SKU-45-16,دواء بنادول اكسترا تشغيلة 45-16,66.50,15.5%
SKU-45-17,دواء بنادول اكسترا تشغيلة 45-17,67.50,15.5%
SKU-45-18,دواء بنادول اكسترا تشغيلة 45-18,68.50,15.5%
SKU-45-19,دواء بنادول اكسترا تشغيلة 45-19,69.50,15.5%
SKU-45-20,دواء بنادول اكسترا تشغيلة 45-20,70.50,15.5%
