كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-091-01,صنف تجريبي رقم 91-1,120.00,18.0%
SKU-091-02,صنف تجريبي رقم 91-2,120.00,18.0%
SKU-091-03,صنف تجريبي رقم 91-3,120.00,18.0%
SKU-091-04,صنف تجريبي رقم 91-4,120.00,18.0%
SKU-091-05,صنف تجريبي رقم 91-5,120.00,18.0%
SKU-091-06,صنف تجريبي رقم 91-6,120.00,18.0%
SKU-091-07,صنف تجريبي رقم 91-7,120.00,18.0%
SKU-091-08,صنف تجريبي رقم 91-8,120.00,18.0%
SKU-091-09,صنف تجريبي رقم 91-9,120.00,18.0%
SKU-091-10,صنف تجريبي رقم 91-10,120.00,18.0%
SKU-091-11,صنف تجريبي رقم 91-11,120.00,18.0%
SKU-091-12,صنف تجريبي رقم 91-12,120.00,18.0%
SKU-091-13,صنف تجريبي رقم 91-13,120.00,18.0%
SKU-091-14,صنف تجريبي رقم 91-14,120.00,18.0%
SKU-091-15,صنف تجريبي رقم 91-15,120.00,18.0%
