كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-026-01,صنف تجريبي رقم 26-1,120.00,18.0%
SKU-026-02,صنف تجريبي رقم 26-2,120.00,18.0%
SKU-026-03,صنف تجريبي رقم 26-3,120.00,18.0%
SKU-026-04,صنف تجريبي رقم 26-4,120.00,18.0%
SKU-026-05,صنف تجريبي رقم 26-5,120.00,18.0%
SKU-026-06,صنف تجريبي رقم 26-6,120.00,18.0%
SKU-026-07,صنف تجريبي رقم 26-7,120.00,18.0%
SKU-026-08,صنف تجريبي رقم 26-8,120.00,18.0%
SKU-026-09,صنف تجريبي رقم 26-9,120.00,18.0%
SKU-026-10,صنف تجريبي رقم 26-10,120.00,18.0%
SKU-026-11,صنف تجريبي رقم 26-11,120.00,18.0%
SKU-026-12,صنف تجريبي رقم 26-12,120.00,18.0%
SKU-026-13,صنف تجريبي رقم 26-13,120.00,18.0%
SKU-026-14,صنف تجريبي رقم 26-14,120.00,18.0%
SKU-026-15,صنف تجريبي رقم 26-15,120.00,18.0%
