كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-001-01,صنف تجريبي رقم 1-1,120.00,18.0%
SKU-001-02,صنف تجريبي رقم 1-2,120.00,18.0%
SKU-001-03,صنف تجريبي رقم 1-3,120.00,18.0%
SKU-001-04,صنف تجريبي رقم 1-4,120.00,18.0%
SKU-001-05,صنف تجريبي رقم 1-5,120.00,18.0%
SKU-001-06,صنف تجريبي رقم 1-6,120.00,18.0%
SKU-001-07,صنف تجريبي رقم 1-7,120.00,18.0%
SKU-001-08,صنف تجريبي رقم 1-8,120.00,18.0%
SKU-001-09,صنف تجريبي رقم 1-9,120.00,18.0%
SKU-001-10,صنف تجريبي رقم 1-10,120.00,18.0%
SKU-001-11,صنف تجريبي رقم 1-11,120.00,18.0%
SKU-001-12,صنف تجريبي رقم 1-12,120.00,18.0%
SKU-001-13,صنف تجريبي رقم 1-13,120.00,18.0%
SKU-001-14,صنف تجريبي رقم 1-14,120.00,18.0%
SKU-001-15,صنف تجريبي رقم 1-15,120.00,18.0%
