كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-11-1,دواء بنادول اكسترا تشغيلة 11-1,51.50,15.5%
SKU-11-2,دواء بنادول اكسترا تشغيلة 11-2,52.50,15.5%
SKU-11-3,دواء بنادول اكسترا تشغيلة 11-3,53.50,15.5%
SKU-11-4,دواء بنادول اكسترا تشغيلة 11-4,54.50,15.5%
SKU-11-5,دواء بنادول اكسترا تشغيلة 11-5,55.50,15.5%
SKU-11-6,دواء بنادول اكسترا تشغيلة 11-6,56.50,15.5%
SKU-11-7,دواء بنادول اكسترا تشغيلة 11-7,57.50,15.5%
SKU-11-8,دواء بنادول اكسترا تشغيلة 11-8,58.50,15.5%
SKU-11-9,دواء بنادول اكسترا تشغيلة 11-9,59.50,15.5%
SKU-11-10,دواء بنادول اكسترا تشغيلة 11-10,60.50,15.5%
SKU-11-11,دواء بنادول اكسترا تشغيلة 11-11,61.50,15.5%
SKU-11-12,دواء بنادول اكسترا تشغيلة 11-12,62.50,15.5%
SKU-11-13,دواء بنادول اكسترا تشغيلة 11-13,63.50,15.5%
SKU-11-14,دواء بنادول اكسترا تشغيلة 11-14,64.50,15.5%
SKU-11-15,دواء بنادول اكسترا تشغيلة 11-15,65.50,15.5%
SKU-11-16,دواء بنادول اكسترا تشغيلة 11-16,66.50,15.5%
SKU-11-17,دواء بنادول اكسترا تشغيلة 11-17,67.50,15.5%
SKU-11-18,دواء بنادول اكسترا تشغيلة 11-18,68.50,15.5%
SKU-11-19,دواء بنادول اكسترا تشغيلة 11-19,69.50,15.5%
SKU-11-20,دواء بنادول اكسترا تشغيلة 11-20,70.50,15.5%
