كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-62-1,دواء بنادول اكسترا تشغيلة 62-1,51.50,15.5%
SKU-62-2,دواء بنادول اكسترا تشغيلة 62-2,52.50,15.5%
SKU-62-3,دواء بنادول اكسترا تشغيلة 62-3,53.50,15.5%
SKU-62-4,دواء بنادول اكسترا تشغيلة 62-4,54.50,15.5%
SKU-62-5,دواء بنادول اكسترا تشغيلة 62-5,55.50,15.5%
SKU-62-6,دواء بنادول اكسترا تشغيلة 62-6,56.50,15.5%
SKU-62-7,دواء بنادول اكسترا تشغيلة 62-7,57.50,15.5%
SKU-62-8,دواء بنادول اكسترا تشغيلة 62-8,58.50,15.5%
SKU-62-9,دواء بنادول اكسترا تشغيلة 62-9,59.50,15.5%
SKU-62-10,دواء بنادول اكسترا تشغيلة 62-10,60.50,15.5%
SKU-62-11,دواء بنادول اكسترا تشغيلة 62-11,61.50,15.5%
SKU-62-12,دواء بنادول اكسترا تشغيلة 62-12,62.50,15.5%
SKU-62-13,دواء بنادول اكسترا تشغيلة 62-13,63.50,15.5%
SKU-62-14,دواء بنادول اكسترا تشغيلة 62-14,64.50,15.5%
SKU-62-15,دواء بنادول اكسترا تشغيلة 62-15,65.50,15.5%
SKU-62-16,دواء بنادول اكسترا تشغيلة 62-16,66.50,15.5%
SKU-62-17,دواء بنادول اكسترا تشغيلة 62-17,67.50,15.5%
SKU-62-18,دواء بنادول اكسترا تشغيلة 62-18,68.50,15.5%
SKU-62-19,دواء بنادول اكسترا تشغيلة 62-19,69.50,15.5%
SKU-62-20,دواء بنادول اكسترا تشغيلة 62-20,70.50,15.5%
