كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-19-1,دواء بنادول اكسترا تشغيلة 19-1,51.50,15.5%
SKU-19-2,دواء بنادول اكسترا تشغيلة 19-2,52.50,15.5%
SKU-19-3,دواء بنادول اكسترا تشغيلة 19-3,53.50,15.5%
SKU-19-4,دواء بنادول اكسترا تشغيلة 19-4,54.50,15.5%
SKU-19-5,دواء بنادول اكسترا تشغيلة 19-5,55.50,15.5%
SKU-19-6,دواء بنادول اكسترا تشغيلة 19-6,56.50,15.5%
SKU-19-7,دواء بنادول اكسترا تشغيلة 19-7,57.50,15.5%
SKU-19-8,دواء بنادول اكسترا تشغيلة 19-8,58.50,15.5%
SKU-19-9,دواء بنادول اكسترا تشغيلة 19-9,59.50,15.5%
SKU-19-10,دواء بنادول اكسترا تشغيلة 19-10,60.50,15.5%
SKU-19-11,دواء بنادول اكسترا تشغيلة 19-11,61.50,15.5%
SKU-19-12,دواء بنادول اكسترا تشغيلة 19-12,62.50,15.5%
SKU-19-13,دواء بنادول اكسترا تشغيلة 19-13,63.50,15.5%
SKU-19-14,دواء بنادول اكسترا تشغيلة 19-14,64.50,15.5%
SKU-19-15,دواء بنادول اكسترا تشغيلة 19-15,65.50,15.5%
SKU-19-16,دواء بنادول اكسترا تشغيلة 19-16,66.50,15.5%
SKU-19-17,دواء بنادول اكسترا تشغيلة 19-17,67.50,15.5%
SKU-19-18,دواء بنادول اكسترا تشغيلة 19-18,68.50,15.5%
SKU-19-19,دواء بنادول اكسترا تشغيلة 19-19,69.50,15.5%
SKU-19-20,دواء بنادول اكسترا تشغيلة 19-20,70.50,15.5%
