كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-018-01,صنف تجريبي رقم 18-1,120.00,18.0%
SKU-018-02,صنف تجريبي رقم 18-2,120.00,18.0%
SKU-018-03,صنف تجريبي رقم 18-3,120.00,18.0%
SKU-018-04,صنف تجريبي رقم 18-4,120.00,18.0%
SKU-018-05,صنف تجريبي رقم 18-5,120.00,18.0%
SKU-018-06,صنف تجريبي رقم 18-6,120.00,18.0%
SKU-018-07,صنف تجريبي رقم 18-7,120.00,18.0%
SKU-018-08,صنف تجريبي رقم 18-8,120.00,18.0%
SKU-018-09,صنف تجريبي رقم 18-9,120.00,18.0%
SKU-018-10,صنف تجريبي رقم 18-10,120.00,18.0%
SKU-018-11,صنف تجريبي رقم 18-11,120.00,18.0%
SKU-018-12,صنف تجريبي رقم 18-12,120.00,18.0%
SKU-018-13,صنف تجريبي رقم 18-13,120.00,18.0%
SKU-018-14,صنف تجريبي رقم 18-14,120.00,18.0%
SKU-018-15,صنف تجريبي رقم 18-15,120.00,18.0%
