كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-039-01,صنف تجريبي رقم 39-1,120.00,18.0%
SKU-039-02,صنف تجريبي رقم 39-2,120.00,18.0%
SKU-039-03,صنف تجريبي رقم 39-3,120.00,18.0%
SKU-039-04,صنف تجريبي رقم 39-4,120.00,18.0%
SKU-039-05,صنف تجريبي رقم 39-5,120.00,18.0%
SKU-039-06,صنف تجريبي رقم 39-6,120.00,18.0%
SKU-039-07,صنف تجريبي رقم 39-7,120.00,18.0%
SKU-039-08,صنف تجريبي رقم 39-8,120.00,18.0%
SKU-039-09,صنف تجريبي رقم 39-9,120.00,18.0%
SKU-039-10,صنف تجريبي رقم 39-10,120.00,18.0%
SKU-039-11,صنف تجريبي رقم 39-11,120.00,18.0%
SKU-039-12,صنف تجريبي رقم 39-12,120.00,18.0%
SKU-039-13,صنف تجريبي رقم 39-13,120.00,18.0%
SKU-039-14,صنف تجريبي رقم 39-14,120.00,18.0%
SKU-039-15,صنف تجريبي رقم 39-15,120.00,18.0%
