كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-029-01,صنف تجريبي رقم 29-1,120.00,18.0%
SKU-029-02,صنف تجريبي رقم 29-2,120.00,18.0%
SKU-029-03,صنف تجريبي رقم 29-3,120.00,18.0%
SKU-029-04,صنف تجريبي رقم 29-4,120.00,18.0%
SKU-029-05,صنف تجريبي رقم 29-5,120.00,18.0%
SKU-029-06,صنف تجريبي رقم 29-6,120.00,18.0%
SKU-029-07,صنف تجريبي رقم 29-7,120.00,18.0%
SKU-029-08,صنف تجريبي رقم 29-8,120.00,18.0%
SKU-029-09,صنف تجريبي رقم 29-9,120.00,18.0%
SKU-029-10,صنف تجريبي رقم 29-10,120.00,18.0%
SKU-029-11,صنف تجريبي رقم 29-11,120.00,18.0%
SKU-029-12,صنف تجريبي رقم 29-12,120.00,18.0%
SKU-029-13,صنف تجريبي رقم 29-13,120.00,18.0%
SKU-029-14,صنف تجريبي رقم 29-14,120.00,18.0%
SKU-029-15,صنف تجريبي رقم 29-15,120.00,18.0%
