كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-3-1,دواء بنادول اكسترا تشغيلة 3-1,51.50,15.5%
SKU-3-2,دواء بنادول اكسترا تشغيلة 3-2,52.50,15.5%
SKU-3-3,دواء بنادول اكسترا تشغيلة 3-3,53.50,15.5%
SKU-3-4,دواء بنادول اكسترا تشغيلة 3-4,54.50,15.5%
SKU-3-5,دواء بنادول اكسترا تشغيلة 3-5,55.50,15.5%
SKU-3-6,دواء بنادول اكسترا تشغيلة 3-6,56.50,15.5%
SKU-3-7,دواء بنادول اكسترا تشغيلة 3-7,57.50,15.5%
SKU-3-8,دواء بنادول اكسترا تشغيلة 3-8,58.50,15.5%
SKU-3-9,دواء بنادول اكسترا تشغيلة 3-9,59.50,15.5%
SKU-3-10,دواء بنادول اكسترا تشغيلة 3-10,60.50,15.5%
SKU-3-11,دواء بنادول اكسترا تشغيلة 3-11,61.50,15.5%
SKU-3-12,دواء بنادول اكسترا تشغيلة 3-12,62.50,15.5%
SKU-3-13,دواء بنادول اكسترا تشغيلة 3-13,63.50,15.5%
SKU-3-14,دواء بنادول اكسترا تشغيلة 3-14,64.50,15.5%
SKU-3-15,دواء بنادول اكسترا تشغيلة 3-15,65.50,15.5%
SKU-3-16,دواء بنادول اكسترا تشغيلة 3-16,66.50,15.5%
SKU-3-17,دواء بنادول اكسترا تشغيلة 3-17,67.50,15.5%
SKU-3-18,دواء بنادول اكسترا تشغيلة 3-18,68.50,15.5%
SKU-3-19,دواء بنادول اكسترا تشغيلة 3-19,69.50,15.5%
SKU-3-20,دواء بنادول اكسترا تشغيلة 3-20,70.50,15.5%
