كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-030-01,صنف تجريبي رقم 30-1,120.00,18.0%
SKU-030-02,صنف تجريبي رقم 30-2,120.00,18.0%
SKU-030-03,صنف تجريبي رقم 30-3,120.00,18.0%
SKU-030-04,صنف تجريبي رقم 30-4,120.00,18.0%
SKU-030-05,صنف تجريبي رقم 30-5,120.00,18.0%
SKU-030-06,صنف تجريبي رقم 30-6,120.00,18.0%
SKU-030-07,صنف تجريبي رقم 30-7,120.00,18.0%
SKU-030-08,صنف تجريبي رقم 30-8,120.00,18.0%
SKU-030-09,صنف تجريبي رقم 30-9,120.00,18.0%
SKU-030-10,صنف تجريبي رقم 30-10,120.00,18.0%
SKU-030-11,صنف تجريبي رقم 30-11,120.00,18.0%
SKU-030-12,صنف تجريبي رقم 30-12,120.00,18.0%
SKU-030-13,صنف تجريبي رقم 30-13,120.00,18.0%
SKU-030-14,صنف تجريبي رقم 30-14,120.00,18.0%
SKU-030-15,صنف تجريبي رقم 30-15,120.00,18.0%
