كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-6-1,دواء بنادول اكسترا تشغيلة 6-1,51.50,15.5%
SKU-6-2,دواء بنادول اكسترا تشغيلة 6-2,52.50,15.5%
SKU-6-3,دواء بنادول اكسترا تشغيلة 6-3,53.50,15.5%
SKU-6-4,دواء بنادول اكسترا تشغيلة 6-4,54.50,15.5%
SKU-6-5,دواء بنادول اكسترا تشغيلة 6-5,55.50,15.5%
SKU-6-6,دواء بنادول اكسترا تشغيلة 6-6,56.50,15.5%
SKU-6-7,دواء بنادول اكسترا تشغيلة 6-7,57.50,15.5%
SKU-6-8,دواء بنادول اكسترا تشغيلة 6-8,58.50,15.5%
SKU-6-9,دواء بنادول اكسترا تشغيلة 6-9,59.50,15.5%
SKU-6-10,دواء بنادول اكسترا تشغيلة 6-10,60.50,15.5%
SKU-6-11,دواء بنادول اكسترا تشغيلة 6-11,61.50,15.5%
SKU-6-12,دواء بنادول اكسترا تشغيلة 6-12,62.50,15.5%
SKU-6-13,دواء بنادول اكسترا تشغيلة 6-13,63.50,15.5%
SKU-6-14,دواء بنادول اكسترا تشغيلة 6-14,64.50,15.5%
SKU-6-15,دواء بنادول اكسترا تشغيلة 6-15,65.50,15.5%
SKU-6-16,دواء بنادول اكسترا تشغيلة 6-16,66.50,15.5%
SKU-6-17,دواء بنادول اكسترا تشغيلة 6-17,67.50,15.5%
SKU-6-18,دواء بنادول اكسترا تشغيلة 6-18,68.50,15.5%
SKU-6-19,دواء بنادول اكسترا تشغيلة 6-19,69.50,15.5%
SKU-6-20,دواء بنادول اكسترا تشغيلة 6-20,70.50,15.5%
