كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-36-1,دواء بنادول اكسترا تشغيلة 36-1,51.50,15.5%
SKU-36-2,دواء بنادول اكسترا تشغيلة 36-2,52.50,15.5%
SKU-36-3,دواء بنادول اكسترا تشغيلة 36-3,53.50,15.5%
SKU-36-4,دواء بنادول اكسترا تشغيلة 36-4,54.50,15.5%
SKU-36-5,دواء بنادول اكسترا تشغيلة 36-5,55.50,15.5%
SKU-36-6,دواء بنادول اكسترا تشغيلة 36-6,56.50,15.5%
SKU-36-7,دواء بنادول اكسترا تشغيلة 36-7,57.50,15.5%
SKU-36-8,دواء بنادول اكسترا تشغيلة 36-8,58.50,15.5%
SKU-36-9,دواء بنادول اكسترا تشغيلة 36-9,59.50,15.5%
SKU-36-10,دواء بنادول اكسترا تشغيلة 36-10,60.50,15.5%
SKU-36-11,دواء بنادول اكسترا تشغيلة 36-11,61.50,15.5%
SKU-36-12,دواء بنادول اكسترا تشغيلة 36-12,62.50,15.5%
SKU-36-13,دواء بنادول اكسترا تشغيلة 36-13,63.50,15.5%
SKU-36-14,دواء بنادول اكسترا تشغيلة 36-14,64.50,15.5%
SKU-36-15,دواء بنادول اكسترا تشغيلة 36-15,65.50,15.5%
SKU-36-16,دواء بنادول اكسترا تشغيلة 36-16,66.50,15.5%
SKU-36-17,دواء بنادول اكسترا تشغيلة 36-17,67.50,15.5%
SKU-36-18,دواء بنادول اكسترا تشغيلة 36-18,68.50,15.5%
SKU-36-19,دواء بنادول اكسترا تشغيلة 36-19,69.50,15.5%
SKU-36-20,دواء بنادول اكسترا تشغيلة 36-20,70.50,15.5%
