كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-49-1,دواء بنادول اكسترا تشغيلة 49-1,51.50,15.5%
SKU-49-2,دواء بنادول اكسترا تشغيلة 49-2,52.50,15.5%
SKU-49-3,دواء بنادول اكسترا تشغيلة 49-3,53.50,15.5%
SKU-49-4,دواء بنادول اكسترا تشغيلة 49-4,54.50,15.5%
SKU-49-5,دواء بنادول اكسترا تشغيلة 49-5,55.50,15.5%
SKU-49-6,دواء بنادول اكسترا تشغيلة 49-6,56.50,15.5%
SKU-49-7,دواء بنادول اكسترا تشغيلة 49-7,57.50,15.5%
SKU-49-8,دواء بنادول اكسترا تشغيلة 49-8,58.50,15.5%
SKU-49-9,دواء بنادول اكسترا تشغيلة 49-9,59.50,15.5%
SKU-49-10,دواء بنادول اكسترا تشغيلة 49-10,60.50,15.5%
SKU-49-11,دواء بنادول اكسترا تشغيلة 49-11,61.50,15.5%
SKU-49-12,دواء بنادول اكسترا تشغيلة 49-12,62.50,15.5%
SKU-49-13,دواء بنادول اكسترا تشغيلة 49-13,63.50,15.5%
SKU-49-14,دواء بنادول اكسترا تشغيلة 49-14,64.50,15.5%
SKU-49-15,دواء بنادول اكسترا تشغيلة 49-15,65.50,15.5%
SKU-49-16,دواء بنادول اكسترا تشغيلة 49-16,66.50,15.5%
SKU-49-17,دواء بنادول اكسترا تشغيلة 49-17,67.50,15.5%
SKU-49-18,دواء بنادول اكسترا تشغيلة 49-18,68.50,15.5%
SKU-49-19,دواء بنادول اكسترا تشغيلة 49-19,69.50,15.5%
SKU-49-20,دواء بنادول اكسترا تشغيلة 49-20,70.50,15.5%
