كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-088-01,صنف تجريبي رقم 88-1,120.00,18.0%
SKU-088-02,صنف تجريبي رقم 88-2,120.00,18.0%
SKU-088-03,صنف تجريبي رقم 88-3,120.00,18.0%
SKU-088-04,صنف تجريبي رقم 88-4,120.00,18.0%
SKU-088-05,صنف تجريبي رقم 88-5,120.00,18.0%
SKU-088-06,صنف تجريبي رقم 88-6,120.00,18.0%
SKU-088-07,صنف تجريبي رقم 88-7,120.00,18.0%
SKU-088-08,صنف تجريبي رقم 88-8,120.00,18.0%
SKU-088-09,صنف تجريبي رقم 88-9,120.00,18.0%
SKU-088-10,صنف تجريبي رقم 88-10,120.00,18.0%
SKU-088-11,صنف تجريبي رقم 88-11,120.00,18.0%
SKU-088-12,صنف تجريبي رقم 88-12,120.00,18.0%
SKU-088-13,صنف تجريبي رقم 88-13,120.00,18.0%
SKU-088-14,صنف تجريبي رقم 88-14,120.00,18.0%
SKU-088-15,صنف تجريبي رقم 88-15,120.00,18.0%
