كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-085-01,صنف تجريبي رقم 85-1,120.00,18.0%
SKU-085-02,صنف تجريبي رقم 85-2,120.00,18.0%
SKU-085-03,صنف تجريبي رقم 85-3,120.00,18.0%
SKU-085-04,صنف تجريبي رقم 85-4,120.00,18.0%
SKU-085-05,صنف تجريبي رقم 85-5,120.00,18.0%
SKU-085-06,صنف تجريبي رقم 85-6,120.00,18.0%
SKU-085-07,صنف تجريبي رقم 85-7,120.00,18.0%
SKU-085-08,صنف تجريبي رقم 85-8,120.00,18.0%
SKU-085-09,صنف تجريبي رقم 85-9,120.00,18.0%
SKU-085-10,صنف تجريبي رقم 85-10,120.00,18.0%
SKU-085-11,صنف تجريبي رقم 85-11,120.00,18.0%
SKU-085-12,صنف تجريبي رقم 85-12,120.00,18.0%
SKU-085-13,صنف تجريبي رقم 85-13,120.00,18.0%
SKU-085-14,صنف تجريبي رقم 85-14,120.00,18.0%
SKU-085-15,صنف تجريبي رقم 85-15,120.00,18.0%
