كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-58-1,دواء بنادول اكسترا تشغيلة 58-1,51.50,15.5%
SKU-58-2,دواء بنادول اكسترا تشغيلة 58-2,52.50,15.5%
SKU-58-3,دواء بنادول اكسترا تشغيلة 58-3,53.50,15.5%
SKU-58-4,دواء بنادول اكسترا تشغيلة 58-4,54.50,15.5%
SKU-58-5,دواء بنادول اكسترا تشغيلة 58-5,55.50,15.5%
SKU-58-6,دواء بنادول اكسترا تشغيلة 58-6,56.50,15.5%
SKU-58-7,دواء بنادول اكسترا تشغيلة 58-7,57.50,15.5%
SKU-58-8,دواء بنادول اكسترا تشغيلة 58-8,58.50,15.5%
SKU-58-9,دواء بنادول اكسترا تشغيلة 58-9,59.50,15.5%
SKU-58-10,دواء بنادول اكسترا تشغيلة 58-10,60.50,15.5%
SKU-58-11,دواء بنادول اكسترا تشغيلة 58-11,61.50,15.5%
SKU-58-12,دواء بنادول اكسترا تشغيلة 58-12,62.50,15.5%
SKU-58-13,دواء بنادول اكسترا تشغيلة 58-13,63.50,15.5%
SKU-58-14,دواء بنادول اكسترا تشغيلة 58-14,64.50,15.5%
SKU-58-15,دواء بنادول اكسترا تشغيلة 58-15,65.50,15.5%
SKU-58-16,دواء بنادول اكسترا تشغيلة 58-16,66.50,15.5%
SKU-58-17,دواء بنادول اكسترا تشغيلة 58-17,67.50,15.5%
SKU-58-18,دواء بنادول اكسترا تشغيلة 58-18,68.50,15.5%
SKU-58-19,دواء بنادول اكسترا تشغيلة 58-19,69.50,15.5%
SKU-58-20,دواء بنادول اكسترا تشغيلة 58-20,70.50,15.5%
