كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-064-01,صنف تجريبي رقم 64-1,120.00,18.0%
SKU-064-02,صنف تجريبي رقم 64-2,120.00,18.0%
SKU-064-03,صنف تجريبي رقم 64-3,120.00,18.0%
SKU-064-04,صنف تجريبي رقم 64-4,120.00,18.0%
SKU-064-05,صنف تجريبي رقم 64-5,120.00,18.0%
SKU-064-06,صنف تجريبي رقم 64-6,120.00,18.0%
SKU-064-07,صنف تجريبي رقم 64-7,120.00,18.0%
SKU-064-08,صنف تجريبي رقم 64-8,120.00,18.0%
SKU-064-09,صنف تجريبي رقم 64-9,120.00,18.0%
SKU-064-10,صنف تجريبي رقم 64-10,120.00,18.0%
SKU-064-11,صنف تجريبي رقم 64-11,120.00,18.0%
SKU-064-12,صنف تجريبي رقم 64-12,120.00,18.0%
SKU-064-13,صنف تجريبي رقم 64-13,120.00,18.0%
SKU-064-14,صنف تجريبي رقم 64-14,120.00,18.0%
SKU-064-15,صنف تجريبي رقم 64-15,120.00,18.0%
