كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-65-1,دواء بنادول اكسترا تشغيلة 65-1,51.50,15.5%
SKU-65-2,دواء بنادول اكسترا تشغيلة 65-2,52.50,15.5%
SKU-65-3,دواء بنادول اكسترا تشغيلة 65-3,53.50,15.5%
SKU-65-4,دواء بنادول اكسترا تشغيلة 65-4,54.50,15.5%
SKU-65-5,دواء بنادول اكسترا تشغيلة 65-5,55.50,15.5%
SKU-65-6,دواء بنادول اكسترا تشغيلة 65-6,56.50,15.5%
SKU-65-7,دواء بنادول اكسترا تشغيلة 65-7,57.50,15.5%
SKU-65-8,دواء بنادول اكسترا تشغيلة 65-8,58.50,15.5%
SKU-65-9,دواء بنادول اكسترا تشغيلة 65-9,59.50,15.5%
SKU-65-10,دواء بنادول اكسترا تشغيلة 65-10,60.50,15.5%
SKU-65-11,دواء بنادول اكسترا تشغيلة 65-11,61.50,15.5%
SKU-65-12,دواء بنادول اكسترا تشغيلة 65-12,62.50,15.5%
SKU-65-13,دواء بنادول اكسترا تشغيلة 65-13,63.50,15.5%
SKU-65-14,دواء بنادول اكسترا تشغيلة 65-14,64.50,15.5%
SKU-65-15,دواء بنادول اكسترا تشغيلة 65-15,65.50,15.5%
SKU-65-16,دواء بنادول اكسترا تشغيلة 65-16,66.50,15.5%
SKU-65-17,دواء بنادول اكسترا تشغيلة 65-17,67.50,15.5%
SKU-65-18,دواء بنادول اكسترا تشغيلة 65-18,68.50,15.5%
SKU-65-19,دواء بنادول اكسترا تشغيلة 65-19,69.50,15.5%
SKU-65-20,دواء بنادول اكسترا تشغيلة 65-20,70.50,15.5%
