كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-011-01,صنف تجريبي رقم 11-1,120.00,18.0%
SKU-011-02,صنف تجريبي رقم 11-2,120.00,18.0%
SKU-011-03,صنف تجريبي رقم 11-3,120.00,18.0%
SKU-011-04,صنف تجريبي رقم 11-4,120.00,18.0%
SKU-011-05,صنف تجريبي رقم 11-5,120.00,18.0%
SKU-011-06,صنف تجريبي رقم 11-6,120.00,18.0%
SKU-011-07,صنف تجريبي رقم 11-7,120.00,18.0%
SKU-011-08,صنف تجريبي رقم 11-8,120.00,18.0%
SKU-011-09,صنف تجريبي رقم 11-9,120.00,18.0%
SKU-011-10,صنف تجريبي رقم 11-10,120.00,18.0%
SKU-011-11,صنف تجريبي رقم 11-11,120.00,18.0%
SKU-011-12,صنف تجريبي رقم 11-12,120.00,18.0%
SKU-011-13,صنف تجريبي رقم 11-13,120.00,18.0%
SKU-011-14,صنف تجريبي رقم 11-14,120.00,18.0%
SKU-011-15,صنف تجريبي رقم 11-15,120.00,18.0%
