كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-34-1,دواء بنادول اكسترا تشغيلة 34-1,51.50,15.5%
SKU-34-2,دواء بنادول اكسترا تشغيلة 34-2,52.50,15.5%
SKU-34-3,دواء بنادول اكسترا تشغيلة 34-3,53.50,15.5%
SKU-34-4,دواء بنادول اكسترا تشغيلة 34-4,54.50,15.5%
SKU-34-5,دواء بنادول اكسترا تشغيلة 34-5,55.50,15.5%
SKU-34-6,دواء بنادول اكسترا تشغيلة 34-6,56.50,15.5%
SKU-34-7,دواء بنادول اكسترا تشغيلة 34-7,57.50,15.5%
SKU-34-8,دواء بنادول اكسترا تشغيلة 34-8,58.50,15.5%
SKU-34-9,دواء بنادول اكسترا تشغيلة 34-9,59.50,15.5%
SKU-34-10,دواء بنادول اكسترا تشغيلة 34-10,60.50,15.5%
SKU-34-11,دواء بنادول اكسترا تشغيلة 34-11,61.50,15.5%
SKU-34-12,دواء بنادول اكسترا تشغيلة 34-12,62.50,15.5%
SKU-34-13,دواء بنادول اكسترا تشغيلة 34-13,63.50,15.5%
SKU-34-14,دواء بنادول اكسترا تشغيلة 34-14,64.50,15.5%
SKU-34-15,دواء بنادول اكسترا تشغيلة 34-15,65.50,15.5%
SKU-34-16,دواء بنادول اكسترا تشغيلة 34-16,66.50,15.5%
SKU-34-17,دواء بنادول اكسترا تشغيلة 34-17,67.50,15.5%
SKU-34-18,دواء بنادول اكسترا تشغيلة 34-18,68.50,15.5%
SKU-34-19,دواء بنادول اكسترا تشغيلة 34-19,69.50,15.5%
SKU-34-20,دواء بنادول اكسترا تشغيلة 34-20,70.50,15.5%
