كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-55-1,دواء بنادول اكسترا تشغيلة 55-1,51.50,15.5%
SKU-55-2,دواء بنادول اكسترا تشغيلة 55-2,52.50,15.5%
SKU-55-3,دواء بنادول اكسترا تشغيلة 55-3,53.50,15.5%
SKU-55-4,دواء بنادول اكسترا تشغيلة 55-4,54.50,15.5%
SKU-55-5,دواء بنادول اكسترا تشغيلة 55-5,55.50,15.5%
SKU-55-6,دواء بنادول اكسترا تشغيلة 55-6,56.50,15.5%
SKU-55-7,دواء بنادول اكسترا تشغيلة 55-7,57.50,15.5%
SKU-55-8,دواء بنادول اكسترا تشغيلة 55-8,58.50,15.5%
SKU-55-9,دواء بنادول اكسترا تشغيلة 55-9,59.50,15.5%
SKU-55-10,دواء بنادول اكسترا تشغيلة 55-10,60.50,15.5%
SKU-55-11,دواء بنادول اكسترا تشغيلة 55-11,61.50,15.5%
SKU-55-12,دواء بنادول اكسترا تشغيلة 55-12,62.50,15.5%
SKU-55-13,دواء بنادول اكسترا تشغيلة 55-13,63.50,15.5%
SKU-55-14,دواء بنادول اكسترا تشغيلة 55-14,64.50,15.5%
SKU-55-15,دواء بنادول اكسترا تشغيلة 55-15,65.50,15.5%
SKU-55-16,دواء بنادول اكسترا تشغيلة 55-16,66.50,15.5%
SKU-55-17,دواء بنادول اكسترا تشغيلة 55-17,67.50,15.5%
SKU-55-18,دواء بنادول اكسترا تشغيلة 55-18,68.50,15.5%
SKU-55-19,دواء بنادول اكسترا تشغيلة 55-19,69.50,15.5%
SKU-55-20,دواء بنادول اكسترا تشغيلة 55-20,70.50,15.5%
