كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-084-01,صنف تجريبي رقم 84-1,120.00,18.0%
SKU-084-02,صنف تجريبي رقم 84-2,120.00,18.0%
SKU-084-03,صنف تجريبي رقم 84-3,120.00,18.0%
SKU-084-04,صنف تجريبي رقم 84-4,120.00,18.0%
SKU-084-05,صنف تجريبي رقم 84-5,120.00,18.0%
SKU-084-06,صنف تجريبي رقم 84-6,120.00,18.0%
SKU-084-07,صنف تجريبي رقم 84-7,120.00,18.0%
SKU-084-08,صنف تجريبي رقم 84-8,120.00,18.0%
SKU-084-09,صنف تجريبي رقم 84-9,120.00,18.0%
SKU-084-10,صنف تجريبي رقم 84-10,120.00,18.0%
SKU-084-11,صنف تجريبي رقم 84-11,120.00,18.0%
SKU-084-12,صنف تجريبي رقم 84-12,120.00,18.0%
SKU-084-13,صنف تجريبي رقم 84-13,120.00,18.0%
SKU-084-14,صنف تجريبي رقم 84-14,120.00,18.0%
SKU-084-15,صنف تجريبي رقم 84-15,120.00,18.0%
