كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-32-1,دواء بنادول اكسترا تشغيلة 32-1,51.50,15.5%
SKU-32-2,دواء بنادول اكسترا تشغيلة 32-2,52.50,15.5%
SKU-32-3,دواء بنادول اكسترا تشغيلة 32-3,53.50,15.5%
SKU-32-4,دواء بنادول اكسترا تشغيلة 32-4,54.50,15.5%
SKU-32-5,دواء بنادول اكسترا تشغيلة 32-5,55.50,15.5%
SKU-32-6,دواء بنادول اكسترا تشغيلة 32-6,56.50,15.5%
SKU-32-7,دواء بنادول اكسترا تشغيلة 32-7,57.50,15.5%
SKU-32-8,دواء بنادول اكسترا تشغيلة 32-8,58.50,15.5%
SKU-32-9,دواء بنادول اكسترا تشغيلة 32-9,59.50,15.5%
SKU-32-10,دواء بنادول اكسترا تشغيلة 32-10,60.50,15.5%
SKU-32-11,دواء بنادول اكسترا تشغيلة 32-11,61.50,15.5%
SKU-32-12,دواء بنادول اكسترا تشغيلة 32-12,62.50,15.5%
SKU-32-13,دواء بنادول اكسترا تشغيلة 32-13,63.50,15.5%
SKU-32-14,دواء بنادول اكسترا تشغيلة 32-14,64.50,15.5%
SKU-32-15,دواء بنادول اكسترا تشغيلة 32-15,65.50,15.5%
SKU-32-16,دواء بنادول اكسترا تشغيلة 32-16,66.50,15.5%
SKU-32-17,دواء بنادول اكسترا تشغيلة 32-17,67.50,15.5%
SKU-32-18,دواء بنادول اكسترا تشغيلة 32-18,68.50,15.5%
SKU-32-19,دواء بنادول اكسترا تشغيلة 32-19,69.50,15.5%
SKU-32-20,دواء بنادول اكسترا تشغيلة 32-20,70.50,15.5%
