كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-059-01,صنف تجريبي رقم 59-1,120.00,18.0%
SKU-059-02,صنف تجريبي رقم 59-2,120.00,18.0%
SKU-059-03,صنف تجريبي رقم 59-3,120.00,18.0%
SKU-059-04,صنف تجريبي رقم 59-4,120.00,18.0%
SKU-059-05,صنف تجريبي رقم 59-5,120.00,18.0%
SKU-059-06,صنف تجريبي رقم 59-6,120.00,18.0%
SKU-059-07,صنف تجريبي رقم 59-7,120.00,18.0%
SKU-059-08,صنف تجريبي رقم 59-8,120.00,18.0%
SKU-059-09,صنف تجريبي رقم 59-9,120.00,18.0%
SKU-059-10,صنف تجريبي رقم 59-10,120.00,18.0%
SKU-059-11,صنف تجريبي رقم 59-11,120.00,18.0%
SKU-059-12,صنف تجريبي رقم 59-12,120.00,18.0%
SKU-059-13,صنف تجريبي رقم 59-13,120.00,18.0%
SKU-059-14,صنف تجريبي رقم 59-14,120.00,18.0%
SKU-059-15,صنف تجريبي رقم 59-15,120.00,18.0%
