كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-013-01,صنف تجريبي رقم 13-1,120.00,18.0%
SKU-013-02,صنف تجريبي رقم 13-2,120.00,18.0%
SKU-013-03,صنف تجريبي رقم 13-3,120.00,18.0%
SKU-013-04,صنف تجريبي رقم 13-4,120.00,18.0%
SKU-013-05,صنف تجريبي رقم 13-5,120.00,18.0%
SKU-013-06,صنف تجريبي رقم 13-6,120.00,18.0%
SKU-013-07,صنف تجريبي رقم 13-7,120.00,18.0%
SKU-013-08,صنف تجريبي رقم 13-8,120.00,18.0%
SKU-013-09,صنف تجريبي رقم 13-9,120.00,18.0%
SKU-013-10,صنف تجريبي رقم 13-10,120.00,18.0%
SKU-013-11,صنف تجريبي رقم 13-11,120.00,18.0%
SKU-013-12,صنف تجريبي رقم 13-12,120.00,18.0%
SKU-013-13,صنف تجريبي رقم 13-13,120.00,18.0%
SKU-013-14,صنف تجريبي رقم 13-14,120.00,18.0%
SKU-013-15,صنف تجريبي رقم 13-15,120.00,18.0%
