كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-016-01,صنف تجريبي رقم 16-1,120.00,18.0%
SKU-016-02,صنف تجريبي رقم 16-2,120.00,18.0%
SKU-016-03,صنف تجريبي رقم 16-3,120.00,18.0%
SKU-016-04,صنف تجريبي رقم 16-4,120.00,18.0%
SKU-016-05,صنف تجريبي رقم 16-5,120.00,18.0%
SKU-016-06,صنف تجريبي رقم 16-6,120.00,18.0%
SKU-016-07,صنف تجريبي رقم 16-7,120.00,18.0%
SKU-016-08,صنف تجريبي رقم 16-8,120.00,18.0%
SKU-016-09,صنف تجريبي رقم 16-9,120.00,18.0%
SKU-016-10,صنف تجريبي رقم 16-10,120.00,18.0%
SKU-016-11,صنف تجريبي رقم 16-11,120.00,18.0%
SKU-016-12,صنف تجريبي رقم 16-12,120.00,18.0%
SKU-016-13,صنف تجريبي رقم 16-13,120.00,18.0%
SKU-016-14,صنف تجريبي رقم 16-14,120.00,18.0%
SKU-016-15,صنف تجريبي رقم 16-15,120.00,18.0%
