كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-037-01,صنف تجريبي رقم 37-1,120.00,18.0%
SKU-037-02,صنف تجريبي رقم 37-2,120.00,18.0%
SKU-037-03,صنف تجريبي رقم 37-3,120.00,18.0%
SKU-037-04,صنف تجريبي رقم 37-4,120.00,18.0%
SKU-037-05,صنف تجريبي رقم 37-5,120.00,18.0%
SKU-037-06,صنف تجريبي رقم 37-6,120.00,18.0%
SKU-037-07,صنف تجريبي رقم 37-7,120.00,18.0%
SKU-037-08,صنف تجريبي رقم 37-8,120.00,18.0%
SKU-037-09,صنف تجريبي رقم 37-9,120.00,18.0%
SKU-037-10,صنف تجريبي رقم 37-10,120.00,18.0%
SKU-037-11,صنف تجريبي رقم 37-11,120.00,18.0%
SKU-037-12,صنف تجريبي رقم 37-12,120.00,18.0%
SKU-037-13,صنف تجريبي رقم 37-13,120.00,18.0%
SKU-037-14,صنف تجريبي رقم 37-14,120.00,18.0%
SKU-037-15,صنف تجريبي رقم 37-15,120.00,18.0%
