كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-30-1,دواء بنادول اكسترا تشغيلة 30-1,51.50,15.5%
SKU-30-2,دواء بنادول اكسترا تشغيلة 30-2,52.50,15.5%
SKU-30-3,دواء بنادول اكسترا تشغيلة 30-3,53.50,15.5%
SKU-30-4,دواء بنادول اكسترا تشغيلة 30-4,54.50,15.5%
SKU-30-5,دواء بنادول اكسترا تشغيلة 30-5,55.50,15.5%
SKU-30-6,دواء بنادول اكسترا تشغيلة 30-6,56.50,15.5%
SKU-30-7,دواء بنادول اكسترا تشغيلة 30-7,57.50,15.5%
SKU-30-8,دواء بنادول اكسترا تشغيلة 30-8,58.50,15.5%
SKU-30-9,دواء بنادول اكسترا تشغيلة 30-9,59.50,15.5%
SKU-30-10,دواء بنادول اكسترا تشغيلة 30-10,60.50,15.5%
SKU-30-11,دواء بنادول اكسترا تشغيلة 30-11,61.50,15.5%
SKU-30-12,دواء بنادول اكسترا تشغيلة 30-12,62.50,15.5%
SKU-30-13,دواء بنادول اكسترا تشغيلة 30-13,63.50,15.5%
SKU-30-14,دواء بنادول اكسترا تشغيلة 30-14,64.50,15.5%
SKU-30-15,دواء بنادول اكسترا تشغيلة 30-15,65.50,15.5%
SKU-30-16,دواء بنادول اكسترا تشغيلة 30-16,66.50,15.5%
SKU-30-17,دواء بنادول اكسترا تشغيلة 30-17,67.50,15.5%
SKU-30-18,دواء بنادول اكسترا تشغيلة 30-18,68.50,15.5%
SKU-30-19,دواء بنادول اكسترا تشغيلة 30-19,69.50,15.5%
SKU-30-20,دواء بنادول اكسترا تشغيلة 30-20,70.50,15.5%
