كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-004-01,صنف تجريبي رقم 4-1,120.00,18.0%
SKU-004-02,صنف تجريبي رقم 4-2,120.00,18.0%
SKU-004-03,صنف تجريبي رقم 4-3,120.00,18.0%
SKU-004-04,صنف تجريبي رقم 4-4,120.00,18.0%
SKU-004-05,صنف تجريبي رقم 4-5,120.00,18.0%
SKU-004-06,صنف تجريبي رقم 4-6,120.00,18.0%
SKU-004-07,صنف تجريبي رقم 4-7,120.00,18.0%
SKU-004-08,صنف تجريبي رقم 4-8,120.00,18.0%
SKU-004-09,صنف تجريبي رقم 4-9,120.00,18.0%
SKU-004-10,صنف تجريبي رقم 4-10,120.00,18.0%
SKU-004-11,صنف تجريبي رقم 4-11,120.00,18.0%
SKU-004-12,صنف تجريبي رقم 4-12,120.00,18.0%
SKU-004-13,صنف تجريبي رقم 4-13,120.00,18.0%
SKU-004-14,صنف تجريبي رقم 4-14,120.00,18.0%
SKU-004-15,صنف تجريبي رقم 4-15,120.00,18.0%
