كود الصنف (SKU),اسم المنتج,سعر الجمهور,نسبة الخصم %
SKU-071-01,صنف تجريبي رقم 71-1,120.00,18.0%
SKU-071-02,صنف تجريبي رقم 71-2,120.00,18.0%
SKU-071-03,صنف تجريبي رقم 71-3,120.00,18.0%
SKU-071-04,صنف تجريبي رقم 71-4,120.00,18.0%
SKU-071-05,صنف تجريبي رقم 71-5,120.00,18.0%
SKU-071-06,صنف تجريبي رقم 71-6,120.00,18.0%
SKU-071-07,صنف تجريبي رقم 71-7,120.00,18.0%
SKU-071-08,صنف تجريبي رقم 71-8,120.00,18.0%
SKU-071-09,صنف تجريبي رقم 71-9,120.00,18.0%
SKU-071-10,صنف تجريبي رقم 71-10,120.00,18.0%
SKU-071-11,صنف تجريبي رقم 71-11,120.00,18.0%
SKU-071-12,صنف تجريبي رقم 71-12,120.00,18.0%
SKU-071-13,صنف تجريبي رقم 71-13,120.00,18.0%
SKU-071-14,صنف تجريبي رقم 71-14,120.00,18.0%
SKU-071-15,صنف تجريبي رقم 71-15,120.00,18.0%
