كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-56-1,دواء بنادول اكسترا تشغيلة 56-1,51.50,15.5%
SKU-56-2,دواء بنادول اكسترا تشغيلة 56-2,52.50,15.5%
SKU-56-3,دواء بنادول اكسترا تشغيلة 56-3,53.50,15.5%
SKU-56-4,دواء بنادول اكسترا تشغيلة 56-4,54.50,15.5%
SKU-56-5,دواء بنادول اكسترا تشغيلة 56-5,55.50,15.5%
SKU-56-6,دواء بنادول اكسترا تشغيلة 56-6,56.50,15.5%
SKU-56-7,دواء بنادول اكسترا تشغيلة 56-7,57.50,15.5%
SKU-56-8,دواء بنادول اكسترا تشغيلة 56-8,58.50,15.5%
SKU-56-9,دواء بنادول اكسترا تشغيلة 56-9,59.50,15.5%
SKU-56-10,دواء بنادول اكسترا تشغيلة 56-10,60.50,15.5%
SKU-56-11,دواء بنادول اكسترا تشغيلة 56-11,61.50,15.5%
SKU-56-12,دواء بنادول اكسترا تشغيلة 56-12,62.50,15.5%
SKU-56-13,دواء بنادول اكسترا تشغيلة 56-13,63.50,15.5%
SKU-56-14,دواء بنادول اكسترا تشغيلة 56-14,64.50,15.5%
SKU-56-15,دواء بنادول اكسترا تشغيلة 56-15,65.50,15.5%
SKU-56-16,دواء بنادول اكسترا تشغيلة 56-16,66.50,15.5%
SKU-56-17,دواء بنادول اكسترا تشغيلة 56-17,67.50,15.5%
SKU-56-18,دواء بنادول اكسترا تشغيلة 56-18,68.50,15.5%
SKU-56-19,دواء بنادول اكسترا تشغيلة 56-19,69.50,15.5%
SKU-56-20,دواء بنادول اكسترا تشغيلة 56-20,70.50,15.5%
