كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-39-1,دواء بنادول اكسترا تشغيلة 39-1,51.50,15.5%
SKU-39-2,دواء بنادول اكسترا تشغيلة 39-2,52.50,15.5%
SKU-39-3,دواء بنادول اكسترا تشغيلة 39-3,53.50,15.5%
SKU-39-4,دواء بنادول اكسترا تشغيلة 39-4,54.50,15.5%
SKU-39-5,دواء بنادول اكسترا تشغيلة 39-5,55.50,15.5%
SKU-39-6,دواء بنادول اكسترا تشغيلة 39-6,56.50,15.5%
SKU-39-7,دواء بنادول اكسترا تشغيلة 39-7,57.50,15.5%
SKU-39-8,دواء بنادول اكسترا تشغيلة 39-8,58.50,15.5%
SKU-39-9,دواء بنادول اكسترا تشغيلة 39-9,59.50,15.5%
SKU-39-10,دواء بنادول اكسترا تشغيلة 39-10,60.50,15.5%
SKU-39-11,دواء بنادول اكسترا تشغيلة 39-11,61.50,15.5%
SKU-39-12,دواء بنادول اكسترا تشغيلة 39-12,62.50,15.5%
SKU-39-13,دواء بنادول اكسترا تشغيلة 39-13,63.50,15.5%
SKU-39-14,دواء بنادول اكسترا تشغيلة 39-14,64.50,15.5%
SKU-39-15,دواء بنادول اكسترا تشغيلة 39-15,65.50,15.5%
SKU-39-16,دواء بنادول اكسترا تشغيلة 39-16,66.50,15.5%
SKU-39-17,دواء بنادول اكسترا تشغيلة 39-17,67.50,15.5%
SKU-39-18,دواء بنادول اكسترا تشغيلة 39-18,68.50,15.5%
SKU-39-19,دواء بنادول اكسترا تشغيلة 39-19,69.50,15.5%
SKU-39-20,دواء بنادول اكسترا تشغيلة 39-20,70.50,15.5%
