كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-23-1,دواء بنادول اكسترا تشغيلة 23-1,51.50,15.5%
SKU-23-2,دواء بنادول اكسترا تشغيلة 23-2,52.50,15.5%
SKU-23-3,دواء بنادول اكسترا تشغيلة 23-3,53.50,15.5%
SKU-23-4,دواء بنادول اكسترا تشغيلة 23-4,54.50,15.5%
SKU-23-5,دواء بنادول اكسترا تشغيلة 23-5,55.50,15.5%
SKU-23-6,دواء بنادول اكسترا تشغيلة 23-6,56.50,15.5%
SKU-23-7,دواء بنادول اكسترا تشغيلة 23-7,57.50,15.5%
SKU-23-8,دواء بنادول اكسترا تشغيلة 23-8,58.50,15.5%
SKU-23-9,دواء بنادول اكسترا تشغيلة 23-9,59.50,15.5%
SKU-23-10,دواء بنادول اكسترا تشغيلة 23-10,60.50,15.5%
SKU-23-11,دواء بنادول اكسترا تشغيلة 23-11,61.50,15.5%
SKU-23-12,دواء بنادول اكسترا تشغيلة 23-12,62.50,15.5%
SKU-23-13,دواء بنادول اكسترا تشغيلة 23-13,63.50,15.5%
SKU-23-14,دواء بنادول اكسترا تشغيلة 23-14,64.50,15.5%
SKU-23-15,دواء بنادول اكسترا تشغيلة 23-15,65.50,15.5%
SKU-23-16,دواء بنادول اكسترا تشغيلة 23-16,66.50,15.5%
SKU-23-17,دواء بنادول اكسترا تشغيلة 23-17,67.50,15.5%
SKU-23-18,دواء بنادول اكسترا تشغيلة 23-18,68.50,15.5%
SKU-23-19,دواء بنادول اكسترا تشغيلة 23-19,69.50,15.5%
SKU-23-20,دواء بنادول اكسترا تشغيلة 23-20,70.50,15.5%
