كود الصنف (SKU),اسم الدواء والمنتج,سعر الجمهور,نسبة الخصم %
SKU-57-1,دواء بنادول اكسترا تشغيلة 57-1,51.50,15.5%
SKU-57-2,دواء بنادول اكسترا تشغيلة 57-2,52.50,15.5%
SKU-57-3,دواء بنادول اكسترا تشغيلة 57-3,53.50,15.5%
SKU-57-4,دواء بنادول اكسترا تشغيلة 57-4,54.50,15.5%
SKU-57-5,دواء بنادول اكسترا تشغيلة 57-5,55.50,15.5%
SKU-57-6,دواء بنادول اكسترا تشغيلة 57-6,56.50,15.5%
SKU-57-7,دواء بنادول اكسترا تشغيلة 57-7,57.50,15.5%
SKU-57-8,دواء بنادول اكسترا تشغيلة 57-8,58.50,15.5%
SKU-57-9,دواء بنادول اكسترا تشغيلة 57-9,59.50,15.5%
SKU-57-10,دواء بنادول اكسترا تشغيلة 57-10,60.50,15.5%
SKU-57-11,دواء بنادول اكسترا تشغيلة 57-11,61.50,15.5%
SKU-57-12,دواء بنادول اكسترا تشغيلة 57-12,62.50,15.5%
SKU-57-13,دواء بنادول اكسترا تشغيلة 57-13,63.50,15.5%
SKU-57-14,دواء بنادول اكسترا تشغيلة 57-14,64.50,15.5%
SKU-57-15,دواء بنادول اكسترا تشغيلة 57-15,65.50,15.5%
SKU-57-16,دواء بنادول اكسترا تشغيلة 57-16,66.50,15.5%
SKU-57-17,دواء بنادول اكسترا تشغيلة 57-17,67.50,15.5%
SKU-57-18,دواء بنادول اكسترا تشغيلة 57-18,68.50,15.5%
SKU-57-19,دواء بنادول اكسترا تشغيلة 57-19,69.50,15.5%
SKU-57-20,دواء بنادول اكسترا تشغيلة 57-20,70.50,15.5%
